name,z,circuit,child,girls,sons,woman,age,race,religion,republican,songerID,no_cases,agemiss,religmiss,racemiss,race.0,race.1,race.2,race.3,race.4,religion.0,religion.1,religion.10,religion.2,religion.3,religion.4,religion.5,religion.7,religion.8,religion.9,religion.99,circuit.1,circuit.10,circuit.11,circuit.12,circuit.2,circuit.3,circuit.4,circuit.5,circuit.6,circuit.7,circuit.8,circuit.9,pscore,matches
"Traxler, William",0,4,2,0,2,0,0,0,0,0,435,11,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.739245360392518,1.18
"Trott, Stephen S.",1,9,2,2,0,0,49,1,8,1,963,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.891797389710118,
"Van Graafeiland, Ellsworth A.",1,2,5,3,2,0,60,1,8,1,237,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.71593652461915,
"Wald, Patricia M.",1,12,5,3,2,1,51,1,0,0,1243,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.999999991792795,
"Walker, John M., Jr.",1,2,1,1,0,0,49,1,2,1,242,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.756157356373229,1.9
"Weis, Joseph F.",1,3,3,2,1,0,50,1,4,1,338,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.833003138729838,1.27
"Wellford, Harry W.",1,6,5,2,3,0,58,1,7,1,642,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.791565465800828,1.28
"Widener, Hiram Emory, Jr.",1,4,2,1,1,0,49,1,7,1,423,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.842686163368686,1.26
"Wiener, Jacques L., Jr.",1,5,4,2,2,0,56,1,5,1,562,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.774573237151738,1.6
"Wiggins, Charles E.",0,9,2,0,2,0,57,1,8,1,965,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.848147469558872,1.19
"Wilkins, William W.",1,4,3,2,1,0,44,1,3,1,424,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.842903780476289,1.29
"Wilkinson, J. Harvie, III",1,4,2,1,1,0,40,1,2,1,425,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.853483791902577,
"Williams, Ann",1,7,2,1,1,1,0,0,0,0,743,13,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.59938070917674,1.1
"Williams, Karen J.",1,4,4,2,2,1,41,1,3,1,431,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.690743944489139,1.37
"Williams, Stephen F.",1,12,5,2,3,0,50,1,0,1,1246,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.999999989650239,
"Wilson, Charles",1,11,2,2,0,0,0,0,0,0,1126,9,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.835154433632381,1.17
"Wisdom, John",1,5,3,2,1,0,52,1,2,1,560,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.838362776112519,
"Wollman, Roger L.",0,8,3,0,3,0,51,1,9,1,837,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.739448353515666,1.20
"Wood, Diane",1,7,3,2,1,1,45,1,99,0,741,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.98277085010979,1.35
"Wood, Harlington, Jr.",1,7,1,1,0,0,56,1,8,1,738,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.768511098829977,1.15
"Wright, Eugene A.",1,9,2,1,1,0,56,1,2,1,967,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.845333557979865,1.22
